LAT,LON,SST
0.0,-52.0,28.5
0.0,-51.0,28.773809523809533
0.0,-50.0,28.95357142857143
0.0,-49.0,28.4
0.0,-48.0,28.309027777777768
0.0,-47.0,29.30539999999998
0.0,-46.0,29.31666666666664
0.0,-45.0,28.590047169811346
0.0,-44.0,27.92557471264369
0.0,-43.0,27.91147058823529
0.0,-42.0,27.88103603603604
0.0,-41.0,27.88362068965517
0.0,-40.0,27.904642857142854
0.0,-39.0,27.767824074074074
0.0,-38.0,27.929012345679013
0.0,-37.0,27.46376811594203
0.0,-36.0,27.66944444444445
0.0,-35.0,27.633727438021
0.0,-34.0,28.015
0.0,-33.0,27.557142857142853
0.0,-32.0,28.115625
0.0,-31.0,28.03087962962964
0.0,-30.0,27.341217948717947
0.0,-29.0,28.01790697674417
0.0,-28.0,27.39234375
0.0,-27.0,27.55384615384616
0.0,-26.0,27.517307692307693
0.0,-25.0,27.64416666666667
0.0,-24.0,26.45
0.0,-23.0,28.462965294605
0.0,-22.0,27.862820512820505
0.0,-21.0,27.14575471698113
0.0,-20.0,27.06181818181818
0.0,-19.0,27.57272727272728
0.0,-18.0,26.67083333333333
0.0,-17.0,27.09727272727272
0.0,-16.0,27.776724137931037
0.0,-15.0,27.359905660377343
0.0,-14.0,27.73548387096775
0.0,-13.0,28.706097560975593
0.0,-12.0,28.487391304347817
0.0,-11.0,27.564583333333324
0.0,-10.0,27.65771114474211
0.0,-9.0,26.93030303030304
0.0,-8.0,28.04608607079197
0.0,-7.0,26.53333333333333
0.0,-6.0,27.92727272727273
0.0,-5.0,27.48138007054673
0.0,-4.0,27.663115942028984
0.0,-3.0,27.25
0.0,-2.0,28.03043478260869
0.0,-1.0,28.719047619047622
0.0,-0.0,27.58151395376136
0.0,1.0,27.41742424242425
0.0,2.0,28.119907677356647
0.0,3.0,28.129455128205127
0.0,4.0,27.676307189542484
0.0,5.0,27.770085470085483
0.0,6.0,27.92307692307693
0.0,7.0,27.538666666666664
0.0,8.0,27.84473684210526
0.0,9.0,29.13039334893502
0.0,10.0,26.4
1.0,-50.0,28.66302083333333
1.0,-49.0,28.24517460317461
1.0,-48.0,28.509795321637426
1.0,-47.0,28.61782537652741
1.0,-46.0,28.54609364171864
1.0,-45.0,28.08317073170731
1.0,-44.0,27.712196078431372
1.0,-43.0,27.714856601731604
1.0,-42.0,27.80290404040405
1.0,-41.0,27.906714285714287
1.0,-40.0,28.056924882629108
1.0,-39.0,27.713836477987428
1.0,-38.0,27.673931623931626
1.0,-37.0,27.75555555555556
1.0,-36.0,27.649444444444452
1.0,-35.0,27.68636363636364
1.0,-34.0,27.70833333333333
1.0,-33.0,28.211111111111112
1.0,-32.0,26.842857142857138
1.0,-31.0,28.002976190476183
1.0,-30.0,27.69538888888889
1.0,-29.0,27.919355631141357
1.0,-28.0,27.51119047619048
1.0,-27.0,27.305555555555557
1.0,-26.0,27.996614583333344
1.0,-25.0,27.52222222222222
1.0,-24.0,28.20256410256411
1.0,-23.0,28.697663909313746
1.0,-22.0,27.919689542483678
1.0,-21.0,28.062962962962946
1.0,-20.0,27.532653061224483
1.0,-19.0,28.05454545454546
1.0,-18.0,28.20124378109452
1.0,-17.0,28.536842105263165
1.0,-16.0,28.50267857142857
1.0,-15.0,28.386607142857137
1.0,-14.0,28.562326388888863
1.0,-13.0,28.39280701754387
1.0,-12.0,28.078030303030314
1.0,-11.0,27.860124875124875
1.0,-10.0,27.726035665294948
1.0,-9.0,27.52565103056148
1.0,-8.0,27.966024925595303
1.0,-7.0,28.043304007820172
1.0,-6.0,26.92816901408449
1.0,-5.0,27.575139936927147
1.0,-4.0,28.336039682539692
1.0,-3.0,28.93522130489623
1.0,-2.0,28.954014968856722
1.0,-1.0,27.048040518912586
1.0,-0.0,26.3036148148148
